test_size,nbnn_train,epochs,nblayers,nbnn_test,r2,evs,mae,time
0.05,1,14,1,5,0.7589477490301407,0.7592254648108524,0.2113820926911556,2.4077765941619873
0.05,1,15,1,1,0.7252611329860519,0.725261727209021,0.2576112779979338,2.854429244995117
0.05,1,15,1,2,0.7449378816535067,0.7449401082947379,0.22838703497296345,2.854429244995117
0.05,1,15,1,3,0.7521868478611874,0.7521990780021518,0.2190854083268391,2.854429244995117
0.05,1,15,1,4,0.7585996290910597,0.7586086265583682,0.21446473606750113,2.854429244995117
0.05,1,15,1,5,0.7583152928056384,0.7583256427889058,0.21393108260051333,2.854429244995117
0.05,1,16,1,1,0.7242784040847166,0.7249399712443352,0.25516361179383057,2.796388626098633
0.05,1,16,1,2,0.7439318348925124,0.7446686127226273,0.22592376767868994,2.796388626098633
0.05,1,16,1,3,0.7505409518395855,0.7514482545694566,0.2165251785385969,2.796388626098633
0.05,1,16,1,4,0.7564631005268997,0.7573890924472397,0.21195385786745288,2.796388626098633
0.05,1,16,1,5,0.7560604252013015,0.7570473200590532,0.21126268346021054,2.796388626098633
0.05,1,17,1,1,0.724014322114906,0.7256656372426554,0.25611493994109147,3.334566831588745
0.05,1,17,1,2,0.7451618551296549,0.7469451162135666,0.22454384740954828,3.334566831588745
0.05,1,17,1,3,0.7525615414813787,0.7545404921644724,0.21537540390799784,3.334566831588745
0.05,1,17,1,4,0.7577107425138668,0.7597004929474271,0.21106691506613784,3.334566831588745
0.05,1,17,1,5,0.7576087166897012,0.7596600150473033,0.21059366527264656,3.334566831588745
0.05,1,18,1,1,0.724853809319773,0.7259772537551982,0.25387097857783614,3.690974473953247
0.05,1,18,1,2,0.7445868716613182,0.7457655367615708,0.22489207596103977,3.690974473953247
0.05,1,18,1,3,0.7524676072022718,0.7538360874112595,0.214882010044808,3.690974473953247
0.05,1,18,1,4,0.7575189782051386,0.7589326105581007,0.21123800668986364,3.690974473953247
0.05,1,18,1,5,0.7578239782973274,0.7593129321800203,0.21067592035793517,3.690974473953247
0.05,1,19,1,1,0.7236654876920654,0.7242342764369919,0.2557702084016384,4.147437810897827
0.05,1,19,1,2,0.7451347908312853,0.7457895551870437,0.22534312515480642,4.147437810897827
0.05,1,19,1,3,0.7530444060269575,0.7538375154438097,0.21601768306932218,4.147437810897827
0.05,1,19,1,4,0.7586895749196089,0.75949986535557,0.2114363134452319,4.147437810897827
0.05,1,19,1,5,0.7594741030167235,0.7603337047690228,0.2107557977141807,4.147437810897827
0.05,1,20,1,1,0.723869647823326,0.7244985464438984,0.256013062856923,3.884658098220825
0.05,1,20,1,2,0.7452192940731419,0.7459585226368013,0.225439721532774,3.884658098220825
