,test_size,epochs,nblayers,fake,r2,evs,mae,time
126,0.15,7,1,1,0.8555232623861245,0.8560904018909163,0.2155009379250355,1.0711455345153809
127,0.15,8,1,1,0.8568430929954632,0.8575634793263435,0.2125656666694114,1.087795972824097
128,0.15,9,1,1,0.8590551357296662,0.8594103493211092,0.2091693627490305,1.3265485763549805
129,0.15,10,1,1,0.860568259334223,0.8606104850177121,0.2107188459062314,1.479694366455078
130,0.15,11,1,1,0.8574927480646544,0.858218802470758,0.2121103462619204,1.3513219356536863
131,0.15,12,1,1,0.8596170706904347,0.8599566443484675,0.2117776182139676,1.522646427154541
132,0.15,13,1,1,0.8619198552182943,0.8620994042624123,0.2087177186931185,1.4826252460479736
133,0.15,14,1,1,0.8602628094392185,0.8604613849564708,0.2083511790619601,1.730870485305786
134,0.15,15,1,1,0.8577649812467409,0.8584616116184562,0.2100848261526339,1.7607662677764893
135,0.15,16,1,1,0.8621758522465848,0.8621765617449721,0.20407339284842,1.8450191020965576
136,0.15,17,1,1,0.8608870825174033,0.8616900298739281,0.2052658684996386,2.0757057666778564
137,0.15,18,1,1,0.8610104053116057,0.8623350994035011,0.2083463223643122,2.020491600036621
138,0.15,19,1,1,0.860574839598064,0.8618140298381258,0.2071600695386334,2.267240285873413
139,0.15,20,1,1,0.8606427047753846,0.8607067841535478,0.2074323542364211,2.1451590061187744
140,0.15,1,2,1,0.8215870716426472,0.8240922220703822,0.2635157391350224,0.5229108333587646
141,0.15,2,2,1,0.8404310827552464,0.8406345645256788,0.2338083113628735,0.6968464851379395
142,0.15,3,2,1,0.8465603760649425,0.8465649242634777,0.224902033232837,0.703920841217041
143,0.15,4,2,1,0.8507571999628338,0.8517107343774409,0.2192626296666301,0.7790584564208984
144,0.15,5,2,1,0.854008126991918,0.8540312914545589,0.2147462914014548,0.8758795261383057
145,0.15,6,2,1,0.8546034644030936,0.8557263852272083,0.2140522273614604,0.9684739112854004
146,0.15,7,2,1,0.8577989090647407,0.8583005705254043,0.2107239601919213,1.2517478466033936
147,0.15,8,2,1,0.8605078031332225,0.8607458335583587,0.2099588938232842,1.1893260478973389
148,0.15,9,2,1,0.8580003089393604,0.858561849946228,0.2105236256212456,1.2854902744293213
149,0.15,10,2,1,0.8608113810510031,0.8609378779144871,0.2078192117448901,1.4054203033447266
150,0.15,11,2,1,0.862084841949158,0.8620953870739936,0.2062230573902908,1.4917373657226562
151,0.15,12,2,1,0.8626106046084658,0.8628363549337932,0.2076070023796899,1.6902132034301758
152,0.15,13,2,1,0.8637810998166788,0.8643160289048023,0.20524804765621,1.8142180442810056
153,0.15,14,2,1,0.8595403157195015,0.8597632314614156,0.2054595020996902,1.6800241470336914
154,0.15,15,2,1,0.859070893822448,0.8624978885207184,0.2109791783558507,2.139445543289185
155,0.15,16,2,1,0.859751809337806,0.8625821747208993,0.2075819410847884,2.094654083251953
156,0.15,17,2,1,0.8622411364629691,0.8641124024537659,0.2050253541216121,2.0159215927124023
157,0.15,18,2,1,0.8630713026807789,0.8631085465845288,0.2057787348849196,2.289224147796631
158,0.15,19,2,1,0.8625158421840998,0.8631082664667112,0.2080425278188406,2.173427104949951
159,0.15,20,2,1,0.8620144576949341,0.8629500068750262,0.2033656080818284,2.268107891082764
160,0.15,1,3,1,0.8108295195966104,0.8109840696167155,0.2701626221436692,0.5476357936859131
161,0.15,2,3,1,0.8387318615669156,0.8387351866278903,0.2349455514726221,0.6444098949432373
162,0.15,3,3,1,0.8509003413536462,0.8509236139280173,0.2209744859040157,0.9338164329528807
163,0.15,4,3,1,0.8504522778796365,0.8522799640661131,0.2265744227875138,0.8483374118804932
164,0.15,5,3,1,0.8550335357654741,0.8553538257632171,0.2137239093730456,0.9283266067504884
165,0.15,6,3,1,0.8474307424322522,0.8552161306729302,0.2221372909403073,1.034538507461548
166,0.15,7,3,1,0.8557108858224303,0.85717468157975,0.2186357283708352,1.0945992469787598
167,0.15,8,3,1,0.8529594969858231,0.858336676803691,0.2223193937865304,1.206235647201538
168,0.15,9,3,1,0.8569809693559658,0.8607204678850495,0.2177718629126199,1.298107385635376
169,0.15,10,3,1,0.8611849976705769,0.8620823896755507,0.2116571243960329,1.376357078552246
170,0.15,11,3,1,0.8618160199662119,0.8618862784368362,0.2085101424187871,1.6922621726989746
171,0.15,12,3,1,0.8619087096006623,0.8625619100508823,0.2061437858981276,1.60210919380188
172,0.15,13,3,1,0.8630673966836553,0.8631251002986307,0.205280067573279,1.6850478649139404
173,0.15,14,3,1,0.8614608548831632,0.863279752295334,0.2062972445274173,1.7589707374572754
174,0.15,15,3,1,0.8631114546765501,0.8631606705516708,0.208047193024721,1.8665144443511963
175,0.15,16,3,1,0.8627628734799646,0.864373515965434,0.2055198801992643,1.9373469352722168
176,0.15,17,3,1,0.8633775954292235,0.8634112056694642,0.2049530636970017,2.0214381217956543
177,0.15,18,3,1,0.8614430911763789,0.8621265703497312,0.2047675476848313,2.1860508918762207
