,density,TC,kVRH,gV,kV,gVRH,volume
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_e_hull.pt,50.9 (14.4),73.7 (8.7),60.1 (10.1),66.0 (9.7),60.1 (10.1),75.8 (9.9),28.7 (9.2)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_phonons1.pt,52.0 (13.8),67.8 (10.0),58.2 (6.2),62.7 (8.3),58.2 (6.2),73.9 (6.0),36.3 (11.0)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_gap0.pt,38.6 (7.4),62.6 (13.8),40.5 (6.2),56.2 (9.8),40.5 (6.2),58.8 (9.3),24.6 (5.3)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_e_form2.pt,55.6 (8.8),68.4 (10.2),59.5 (17.0),62.1 (8.4),59.5 (17.0),67.3 (11.8),23.4 (7.5)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_gap2.pt,51.5 (7.3),67.3 (10.1),60.1 (17.3),66.7 (11.4),60.1 (17.3),71.2 (9.9),22.2 (6.3)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_is_metal3.pt,37.4 (6.1),46.8 (16.1),47.1 (8.8),55.6 (15.6),47.1 (8.8),54.9 (11.4),26.3 (10.2)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(G_VRH)4.pt,49.1 (12.6),73.1 (13.0),61.4 (14.7),73.2 (9.8),61.4 (14.7),77.1 (13.3),31.0 (5.5)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_CritExam__Ed.pt,52.6 (9.8),72.5 (8.2),63.4 (10.5),66.0 (8.7),63.4 (10.5),71.2 (9.9),24.0 (8.4)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_dielectric3.pt,58.5 (10.7),70.2 (12.9),56.9 (14.7),61.4 (6.0),56.9 (14.7),68.0 (8.4),25.7 (6.7)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_is_metal0.pt,46.2 (11.4),45.0 (17.1),38.6 (13.2),49.0 (13.5),38.6 (13.2),48.4 (13.1),28.7 (9.9)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_gap1.pt,42.1 (9.1),53.2 (12.2),54.9 (10.6),52.9 (11.0),54.9 (10.6),56.9 (7.2),26.3 (8.7)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_gap4.pt,50.9 (6.4),68.4 (14.9),55.6 (15.0),63.4 (11.3),55.6 (15.0),61.4 (10.2),27.5 (9.8)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_phonons3.pt,57.3 (11.9),66.7 (8.3),56.9 (12.8),62.7 (11.0),56.9 (12.8),70.6 (7.8),35.7 (10.5)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_e_form4.pt,56.7 (6.9),70.8 (12.7),59.5 (10.4),58.2 (9.5),59.5 (10.4),62.7 (11.4),25.1 (8.6)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_is_metal1.pt,46.2 (8.6),57.3 (14.0),52.3 (6.2),59.5 (10.4),52.3 (6.2),61.4 (11.4),26.3 (9.1)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_OQMD_Energy_per_atom.pt,57.3 (11.0),69.6 (11.7),62.7 (10.2),69.9 (6.2),62.7 (10.2),75.2 (8.2),24.6 (9.5)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_glass3.pt,35.7 (9.4),48.0 (17.3),39.9 (8.2),50.3 (10.6),39.9 (8.2),52.3 (11.9),27.5 (8.2)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_steels_yield0.pt,49.7 (13.7),69.0 (9.6),53.6 (13.6),62.7 (7.8),53.6 (13.6),64.1 (10.4),26.3 (11.5)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_bulk_modulus.pt,55.6 (12.1),70.2 (7.0),66.0 (12.0),73.2 (9.4),66.0 (12.0),78.4 (11.0),31.6 (8.3)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_glass1.pt,28.1 (7.9),49.1 (14.7),45.1 (7.8),48.4 (9.7),45.1 (7.8),59.5 (10.4),27.5 (6.3)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_mu_b.pt,54.4 (9.1),70.8 (11.2),57.5 (11.7),68.0 (8.4),57.5 (11.7),66.0 (9.2),26.3 (9.8)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_is_metal0.pt,48.5 (9.4),47.4 (17.3),41.2 (7.2),56.9 (14.7),41.2 (7.2),58.8 (16.9),31.0 (9.3)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_dielectric0.pt,50.9 (11.2),71.3 (9.9),60.8 (15.0),64.7 (10.2),60.8 (15.0),67.3 (11.0),23.4 (7.9)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_steels_yield1.pt,52.0 (9.3),66.1 (9.2),54.9 (14.4),63.4 (9.7),54.9 (14.4),69.3 (10.1),26.3 (9.8)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_is_metal4.pt,44.4 (7.5),47.4 (16.6),43.1 (11.4),45.1 (13.2),43.1 (11.4),50.3 (14.7),28.7 (7.9)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_gap3.pt,50.3 (7.5),55.0 (11.2),43.8 (7.8),54.2 (11.7),43.8 (7.8),56.2 (10.2),28.1 (5.3)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_aflow__energy_atom.pt,52.0 (12.2),64.3 (9.4),56.2 (11.4),64.7 (6.6),56.2 (11.4),69.3 (10.9),29.2 (8.4)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_shear_modulus.pt,57.3 (7.2),74.9 (10.5),58.8 (15.0),80.4 (9.3),58.8 (15.0),82.4 (9.8),31.0 (11.0)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_e_form1.pt,57.3 (8.9),71.3 (11.5),58.8 (14.4),64.1 (9.5),58.8 (14.4),63.4 (10.5),26.9 (8.5)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_glass0.pt,28.7 (11.2),45.0 (14.0),43.8 (9.4),48.4 (8.2),43.8 (9.4),52.3 (10.8),26.9 (6.7)
