,gVRH,kVRH,TC,volume,gV,kV,density
paper60/DataGenerationScripts/data/datasets//SmallDataBase_glass2.pt,5.8 (4.31),4.84 (2.81),1.61 (1.29),6.62 (2.19),5.46 (4.28),5.02 (3.04),3.93 (1.64)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_elastic_anisotropy.pt,2.39 (2.28),1.31 (1.02),0.44 (0.43),5.27 (1.88),2.19 (2.31),1.4 (1.11),1.94 (1.17)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_e_form1.pt,4.23 (4.11),2.89 (2.26),0.83 (0.94),5.07 (1.96),4.06 (4.1),2.95 (2.21),2.06 (2.41)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_jdft2d2.pt,2.41 (2.42),2.02 (1.73),0.47 (0.28),5.5 (1.74),2.32 (2.42),1.96 (1.64),2.35 (1.41)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_castelli4.pt,2.59 (2.4),2.0 (1.52),0.19 (0.19),3.96 (1.6),2.42 (2.35),2.01 (1.52),1.48 (0.82)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_steels_yield0.pt,3.23 (3.18),1.66 (1.27),0.36 (0.28),5.6 (2.17),3.16 (3.14),1.72 (1.35),2.44 (1.38)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_phonons4.pt,2.35 (1.66),1.44 (0.79),0.67 (0.67),4.51 (1.31),2.22 (1.55),1.38 (0.75),2.45 (1.02)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_phonons0.pt,2.43 (1.99),1.54 (0.96),0.84 (1.31),4.34 (1.19),2.26 (1.85),1.5 (0.92),2.99 (1.47)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_bulk_modulus.pt,1.65 (1.74),0.78 (0.93),0.21 (0.24),4.66 (1.72),1.64 (1.77),0.7 (0.92),2.35 (1.2)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(K_VRH)1.pt,3.13 (3.09),1.68 (1.76),0.32 (0.25),4.38 (1.64),3.05 (3.19),1.66 (1.73),2.98 (1.28)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_gap1.pt,3.31 (3.16),2.18 (1.88),0.4 (0.4),5.12 (1.76),3.11 (3.14),2.08 (1.85),1.39 (0.84)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_jdft2d3.pt,2.49 (2.52),1.76 (1.43),0.38 (0.28),4.89 (1.77),2.57 (2.62),1.78 (1.47),2.23 (1.25)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_jdft2d1.pt,3.69 (3.49),2.33 (2.34),1.13 (0.95),5.47 (1.57),3.7 (3.74),2.52 (2.43),2.86 (1.95)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_aflow__agl_thermal_conductivity_300K.pt,1.86 (1.73),1.03 (0.82),0.79 (1.27),4.4 (1.46),1.95 (1.62),0.98 (0.79),1.56 (0.97)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(G_VRH)0.pt,2.35 (2.48),1.47 (1.34),0.47 (0.47),4.55 (1.72),2.41 (2.69),1.52 (1.39),3.22 (1.79)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_gap4.pt,4.66 (3.83),3.54 (2.45),0.47 (0.42),5.29 (1.92),4.63 (4.02),3.64 (2.51),2.36 (1.42)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_castelli2.pt,2.8 (2.16),1.81 (1.21),0.28 (0.27),4.11 (1.36),2.63 (2.2),1.84 (1.2),1.34 (0.81)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_OQMD_Volume_per_atom.pt,3.11 (2.85),1.4 (1.14),0.46 (0.31),3.67 (1.3),3.02 (2.82),1.42 (1.18),2.16 (1.01)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_OQMD_Formation_Enthalpy.pt,3.86 (4.01),2.55 (2.29),0.2 (0.16),4.51 (1.39),3.81 (4.09),2.48 (2.26),2.89 (2.34)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_glass1.pt,4.48 (4.02),3.82 (2.41),0.56 (0.44),6.5 (2.25),4.14 (4.01),3.74 (2.54),2.89 (1.41)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_e_form2.pt,3.92 (3.91),2.4 (1.89),0.56 (0.7),5.17 (1.88),3.85 (3.92),2.46 (2.12),2.97 (2.98)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_phonons3.pt,1.28 (0.98),0.64 (0.56),0.73 (0.98),4.61 (1.44),1.34 (1.04),0.62 (0.51),2.21 (0.7)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_castelli0.pt,1.91 (1.86),1.21 (0.89),0.28 (0.29),4.11 (1.58),1.85 (1.8),1.28 (0.89),1.4 (0.57)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(K_VRH)3.pt,2.49 (2.43),1.15 (1.17),0.25 (0.22),4.16 (1.59),2.3 (2.35),1.19 (1.21),2.12 (1.02)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_jdft2d0.pt,2.65 (2.12),2.42 (1.75),0.6 (0.55),6.21 (1.78),2.67 (2.33),2.54 (1.86),5.17 (3.16)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_gap0.pt,5.32 (4.74),4.75 (3.36),0.82 (0.39),4.8 (1.92),5.29 (4.75),4.75 (3.47),2.17 (1.28)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(G_VRH)1.pt,2.67 (2.89),1.52 (1.34),0.34 (0.32),4.81 (1.73),2.53 (2.81),1.48 (1.28),3.79 (2.29)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_jdft2d4.pt,5.41 (4.43),4.32 (2.83),0.56 (0.41),6.01 (1.72),5.45 (4.43),4.38 (2.91),3.13 (1.5)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_glass0.pt,5.6 (5.32),4.78 (4.39),1.25 (1.79),6.33 (1.96),5.64 (5.53),4.29 (3.87),2.3 (0.8)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_dielectric3.pt,5.02 (5.15),3.96 (3.69),0.43 (0.34),4.11 (1.42),4.98 (5.08),3.83 (3.62),0.85 (0.4)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_is_metal1.pt,3.58 (2.89),2.61 (1.99),0.46 (0.43),4.76 (1.53),3.47 (3.04),2.62 (2.04),2.34 (1.4)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_e_form4.pt,3.46 (3.38),2.41 (1.94),0.62 (0.64),4.7 (1.97),3.39 (3.4),2.38 (1.94),2.53 (2.61)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_aflow__ael_debye_temperature.pt,1.25 (0.89),0.86 (0.56),0.4 (0.59),4.65 (1.5),1.26 (1.17),0.9 (0.65),1.4 (0.62)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_is_metal4.pt,4.29 (3.9),2.56 (2.05),0.93 (0.35),5.46 (1.71),4.3 (3.99),2.61 (2.02),2.55 (0.76)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_is_metal3.pt,4.62 (3.64),3.78 (2.94),1.23 (0.89),5.91 (1.97),4.76 (4.04),3.63 (2.79),3.51 (1.55)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_CritExam__Ed.pt,2.61 (2.78),1.88 (1.82),0.43 (0.35),5.1 (1.49),2.5 (2.83),1.83 (1.78),2.76 (2.18)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_aflow__Egap.pt,6.18 (5.96),5.26 (4.24),0.81 (0.61),5.3 (2.14),6.08 (5.93),5.19 (4.24),1.63 (0.57)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_steels_yield1.pt,3.95 (3.61),2.21 (1.76),0.29 (0.27),5.28 (1.87),3.94 (3.73),2.2 (1.76),1.62 (0.71)
