test_size,epochs,fake,r2,evs,mae,mse,time
0.25,51,1,-0.14300523687252675,-0.08897034017384309,0.6586768916574347,0.9133963928518155,2.0487051010131836
0.25,56,1,0.5501317314058692,0.5667197982445454,0.405909452396851,0.3594979625086329,2.378720760345459
0.25,61,1,0.5597553853801058,0.5597885930765149,0.43266787353086417,0.35180752458013015,2.42380952835083
0.25,66,1,0.5661042037889563,0.5661067413685485,0.4056140533596197,0.34673406765583614,2.571580410003662
0.25,71,1,0.5908964521269182,0.5931453461115801,0.4211557716743409,0.32692212850449676,2.753481149673462
0.25,76,1,0.6024162864266538,0.603698247478417,0.4215620655460085,0.3177164181926003,2.91475510597229
0.25,81,1,0.707248557037335,0.7083142715549968,0.3285493099227652,0.23394303313597473,2.9282872676849365
0.25,86,1,0.6238364499738733,0.6268749079121172,0.4135619072760225,0.3005991736803528,3.0733354091644287
0.25,91,1,0.6342572083439354,0.640165687682324,0.4058359179098356,0.29227175504836234,3.202380418777466
0.25,96,1,0.7170736987729964,0.7180056961374643,0.33570946550340536,0.2260915826516654,3.61501145362854
0.25,101,1,0.705230159320905,0.7078537534244013,0.32067397738997117,0.23555597167208497,3.9268405437469482
0.25,106,1,0.3162035904297015,0.32741169186956864,0.5621902611404045,0.5464342190202836,3.9038357734680176
0.25,111,1,0.6186202591078442,0.6186210119284259,0.39080965290029246,0.304767527216942,3.956646680831909
0.25,116,1,0.683522718486276,0.684017255581562,0.3465528778062353,0.25290278471963146,4.050024032592773
0.25,121,1,0.6856275211886084,0.6876303874732871,0.35158458752363275,0.25122079837875044,4.430213451385498
0.3,1,1,-0.8541783514127292,-0.3892854274403268,0.9648584312294752,1.4132065647448162,0.4385716915130615
0.3,6,1,-0.4481282724924549,-0.22159694489940351,0.8095760612498988,1.1037257444623068,0.5806550979614258
0.3,11,1,-0.00706380807890894,-0.0065814069514738005,0.6786104431301173,0.7675578692900153,0.7144148349761963
0.3,16,1,0.11819429800896031,0.17831405871695416,0.5804124022259746,0.6720893952481258,0.8002078533172607
0.3,21,1,0.25538219432692777,0.2626094126265116,0.5541106539934864,0.5675283450490627,1.2264175415039062
0.3,26,1,-0.10714442691023618,0.07036027669098666,0.6877232596922686,0.8438367166988389,1.2862670421600342
0.3,31,1,0.33756167681432914,0.3527891209610968,0.5182235951606585,0.5048932786596612,1.398554801940918
0.3,36,1,0.17978108985805374,0.18202740984293664,0.5866865321994001,0.6251495426301735,1.5499038696289062
0.3,41,1,0.042260667896996895,0.05302136276939251,0.6248352375562112,0.7299640352348187,1.6654949188232422
0.3,46,1,0.6782544893990126,0.6843034860335289,0.3624488061989155,0.24522606868538308,1.880187749862671
0.3,51,1,0.41532840091927725,0.4182742323055383,0.5129027746422495,0.4456215020584099,2.0101051330566406
0.3,56,1,0.263167735415507,0.28137967622715643,0.5575244238694076,0.5615944079129249,2.1616578102111816
0.3,61,1,0.5444793241069968,0.5454660597095726,0.43691420977121703,0.34718602396501286,2.2742385864257812
0.3,66,1,0.6505789093868402,0.6520261185796381,0.3562064723680454,0.266319676712099,2.784057855606079
0.3,71,1,0.6767533212161693,0.6799865805595691,0.3626320507624746,0.24637022007144788,2.6941416263580322
0.3,76,1,0.5600785039575857,0.5600786869096923,0.42232622703509853,0.3352967343760739,2.674028158187866
0.3,81,1,0.7016218584006967,0.7021319673693903,0.3452420137079575,0.2274160671562239,2.8491132259368896
0.3,86,1,0.7492831204159425,0.7586168091545172,0.33282652980222205,0.19108989156871964,3.073157548904419
0.3,91,1,0.6726365721290453,0.6727667291547132,0.35080197986795286,0.24950789926552228,3.438096046447754
0.3,96,1,0.4669560466214636,0.4675444880920099,0.43490694265700125,0.4062722518781026,3.478435516357422
0.3,101,1,0.16717214102039513,0.17185838729753078,0.5835941216351028,0.6347597558323361,3.699780225753784
0.3,106,1,0.5916993183266821,0.5927093467805964,0.42031431356873894,0.3111961712263982,3.814143657684326
0.3,111,1,0.6883234429893712,0.6904473655024033,0.3329366589696858,0.23755177386732307,4.035377740859985
0.3,116,1,0.7534345238865454,0.7598847779210658,0.3212234421373275,0.1879257997039373,4.17188286781311
0.3,121,1,0.7078046574526249,0.708328787066697,0.3354180799082114,0.22270369835846207,4.21813440322876
0.35000000000000003,1,1,-0.23248220648542395,-0.1420179451607093,0.7429096869059714,1.0301978312957696,0.4461383819580078
0.35000000000000003,6,1,-47.48419368651446,-6.1270692839525545,5.879564428755335,40.526598213863906,0.5353507995605469
0.35000000000000003,11,1,-4.998587338774121,0.13438097154318296,2.0713537654326175,5.014053456289347,0.7170898914337158
0.35000000000000003,16,1,0.07213429724230125,0.07413960719245849,0.6492384708609413,0.7755773103130891,0.879979133605957
0.35000000000000003,21,1,-0.6306505805479161,-0.21129454016175875,0.909839052067516,1.363015776489036,1.01546311378479
0.35000000000000003,26,1,0.18414106223353088,0.19246342397801242,0.6380575001016923,0.6819539494424554,1.139763593673706
