test_size,epochs,nblayers,r2,evs,mae,time
0.45,16,1,0.9617671059216074,0.9617823627564998,0.1298238430086015,1.357973337173462
0.45,17,1,0.9586799850283999,0.9599693040668948,0.13573394556277568,1.4326965808868408
0.45,18,1,0.9623872948492678,0.9625490200540072,0.1300415493607295,1.4724860191345215
0.45,19,1,0.9640913674543988,0.964174023728759,0.1285190754171915,1.554452896118164
0.45,20,1,0.9618611015264903,0.9625867983090751,0.13101745601715548,1.555164098739624
0.45,21,1,0.9599621588893769,0.9599808453441232,0.13139651061345603,1.6187047958374023
0.45,22,1,0.9630431393056919,0.9630464127984922,0.12807433640845073,1.653505563735962
0.45,23,1,0.9601601158481746,0.9603913708017056,0.13010435233509857,1.9467570781707764
0.45,24,1,0.9639238614206077,0.963947170688368,0.1260665038430809,1.7865748405456543
0.45,25,1,0.9632832644052208,0.9633445684787199,0.1263060074310646,1.826261281967163
0.45,26,1,0.9648178257984407,0.965519886570377,0.127157943193887,1.9045870304107666
0.45,27,1,0.9628650105593484,0.9629313939484383,0.12841469226900357,1.8931348323822021
0.45,28,1,0.963441030368749,0.9638968345000278,0.1298553670034437,1.9388928413391113
0.45,29,1,0.9648629408929569,0.9648949789377124,0.12317174219521475,2.0023887157440186
0.45,30,1,0.9631718491190954,0.9632680314241717,0.12712806920385292,2.056520700454712
0.45,1,2,0.6802234019920902,0.6847892309491533,0.34422146523726144,0.6110818386077881
0.45,2,2,0.9101960882152106,0.9101985802382141,0.18600290863054028,0.9262807369232178
0.45,3,2,0.93282898806119,0.9328290421177726,0.16860438057118216,0.7482552528381348
0.45,4,2,0.9437816006146017,0.9438025788403163,0.15784249085700533,0.8207211494445801
0.45,5,2,0.9505881450651334,0.9511896162837424,0.14539967423268507,0.8776872158050537
0.45,6,2,0.9545247572899606,0.9545443922912286,0.1412884486965354,0.9175827503204346
0.45,7,2,0.9539589379997628,0.9543627302126361,0.14148831699739411,0.9653980731964111
0.45,8,2,0.9586421820841557,0.9587833824490225,0.1364431344220104,1.0032851696014404
0.45,9,2,0.9595096798099143,0.9602799189247772,0.1347569481812701,1.047654390335083
0.45,10,2,0.9571301203685234,0.957142914527818,0.13529258640682595,1.1497867107391357
0.45,11,2,0.9595973458252114,0.9599696068294059,0.13524686873682884,1.4310970306396484
0.45,12,2,0.9595229186851726,0.9596449791763357,0.1326698298616913,1.2964975833892822
0.45,13,2,0.9601859057830118,0.9603156785639198,0.13073723828819273,1.2878148555755615
0.45,14,2,0.962604612476086,0.9628917557528687,0.13105223685311332,1.3317058086395264
0.45,15,2,0.9602429844609853,0.9603911865508395,0.13358839743999257,1.4014151096343994
0.45,16,2,0.9621156373749989,0.9621193132597224,0.12727286205761582,1.4921793937683105
0.45,17,2,0.9603736311134987,0.960593758967235,0.12909712839440055,1.4715864658355713
0.45,18,2,0.962339171626413,0.9629280746132168,0.1304306764853658,1.5770411491394043
0.45,19,2,0.9612906295782256,0.9618526321674901,0.12947247256132258,1.5973284244537354
0.45,20,2,0.9636060968367337,0.963745006904687,0.12742764336041468,1.6409554481506348
0.45,21,2,0.9629678726099167,0.9636821764953257,0.12764854094216743,1.9709594249725342
0.45,22,2,0.9635405884515423,0.9639213097150323,0.125618520348958,1.7728493213653564
0.45,23,2,0.9577489820881878,0.9608351279493703,0.1404854166672839,1.8074798583984375
0.45,24,2,0.9620902336479792,0.9626179230641709,0.13286949462738068,1.8411250114440918
