,test_size,epochs,nblayers,r2,evs,mae,time,fake
973,0.55,14,3,0.9606857043631656,0.9606887100541586,0.1343277154351884,1.4274320602416992,
974,0.55,15,3,0.9625363204496582,0.9625447174610272,0.1321079672014394,1.4201374053955078,
975,0.55,16,3,0.96125285439103,0.9613809837744668,0.1332477277978611,1.4230573177337646,
976,0.55,17,3,0.9599179813930084,0.9617740356749772,0.1372165859077294,1.6091742515563965,
977,0.55,18,3,0.9621257890700338,0.9622959587626824,0.131303835961052,1.9329407215118408,
978,0.55,19,3,0.9619635887885782,0.962299757515574,0.1317476859802769,1.599170207977295,
979,0.55,20,3,0.963802840089404,0.963834835436906,0.1285612063621133,1.5766453742980957,
980,0.55,21,3,0.9635415563144069,0.9640254115480924,0.1300937440572527,1.649498701095581,
981,0.55,22,3,0.9608020117238132,0.9633743046819168,0.1336021584006061,1.657667875289917,
982,0.55,23,3,0.8936334496635028,0.9057730503492686,0.2328159423518861,1.7608251571655271,
983,0.55,24,3,0.9619023778822332,0.9633197631233934,0.1311314099782308,1.7754220962524414,
984,0.55,25,3,0.9612374263968916,0.961556348962189,0.1301035229748304,1.7756788730621338,
985,0.55,26,3,0.9607133530735452,0.9619963296624144,0.1317654968841215,1.82830810546875,
986,0.55,27,3,0.9617296628362166,0.9619769999613116,0.1302788914956515,2.237464666366577,
987,0.55,28,3,0.963292802403561,0.9633528983894604,0.1284122271773193,1.9900457859039309,
988,0.55,29,3,0.9625563670430388,0.9625813611976254,0.1317934988949323,2.018819808959961,
989,0.55,30,3,0.9646495647378912,0.9646790792308466,0.1272617719288356,2.108306169509888,
990,0.6000000000000001,1,1,0.8149860405964874,0.8151386397640421,0.2986844200283156,0.5800566673278809,
991,0.6000000000000001,2,1,0.8202609813977291,0.8207115692530148,0.2605790732181294,0.6197896003723145,
992,0.6000000000000001,3,1,0.8595504526994263,0.8604172287768946,0.2288829195892649,0.6472196578979492,
993,0.6000000000000001,4,1,0.8793542123013101,0.8807709061551556,0.2098625301395419,0.7070109844207764,
994,0.6000000000000001,5,1,0.9275004830271772,0.9280250529270864,0.170629175438752,0.777268648147583,
995,0.6000000000000001,6,1,0.9409229297464826,0.9409500632073836,0.1562598372644085,1.0642545223236084,
996,0.6000000000000001,7,1,0.94734428059401,0.9480454721941785,0.1544750836020514,0.8547391891479492,
997,0.6000000000000001,8,1,0.9518316602514804,0.9520685036065164,0.1459565668685188,0.8917479515075684,
998,0.6000000000000001,9,1,0.9521644737569276,0.9522426615668405,0.1471055387890632,0.9387738704681396,
999,0.6000000000000001,10,1,0.9525294530645312,0.9525993863050656,0.1429601707931083,0.9823968410491944,
1000,0.6000000000000001,11,1,0.9556609383220892,0.9560381591083018,0.1407917185426349,1.0128579139709473,
1001,0.6000000000000001,12,1,0.9557407178691372,0.9558321819987206,0.1396344281746841,1.0551068782806396,
1002,0.6000000000000001,13,1,0.9553994407891172,0.9554686171371976,0.14107423299367,1.1149303913116455,
1003,0.6000000000000001,14,1,0.9576540441124424,0.9576573704426574,0.1386663969461823,1.149092674255371,
1004,0.6000000000000001,15,1,0.9568440801290266,0.9569303754230548,0.1381341174629435,1.1648495197296145,
1005,0.6000000000000001,16,1,0.9582991074461412,0.9585136430186793,0.1366375089573154,1.237980604171753,
1006,0.6000000000000001,17,1,0.960119762195722,0.9602532856452206,0.1342856829488933,1.5623226165771484,
1007,0.6000000000000001,18,1,0.957795621649022,0.9577969286137112,0.1384663455331768,1.3631360530853271,
1008,0.6000000000000001,19,1,0.9574723234206924,0.9580841215694438,0.1373961697056908,1.3899900913238523,
1009,0.6000000000000001,20,1,0.9598998298591506,0.9602113844420448,0.1319254211373751,1.4678916931152344,
1010,0.6000000000000001,21,1,0.9588556854737884,0.9599650391711296,0.1382261246342241,1.4503016471862793,
1011,0.6000000000000001,22,1,0.960073851770607,0.9602286692731472,0.1335969638795363,1.5313477516174316,
1012,0.6000000000000001,23,1,0.9613946260925286,0.9614174667382924,0.1325991444320127,1.5549004077911377,
1013,0.6000000000000001,24,1,0.9586330210754036,0.958634601865533,0.1400956533817252,1.6245968341827393,
1014,0.6000000000000001,25,1,0.959255928270702,0.9592675007865958,0.13530302696833,1.671804666519165,
1015,0.6000000000000001,26,1,0.9603447437619924,0.9604984504174964,0.132858337609199,1.700439691543579,
1016,0.6000000000000001,27,1,0.9611531949773956,0.9611543252386284,0.1315365286818627,2.0346715450286865,
1017,0.6000000000000001,28,1,0.9607051845077628,0.961024548041535,0.1328647803044718,1.796300172805786,
1018,0.6000000000000001,29,1,0.9627821166225884,0.9631079641078214,0.1338547371662354,1.888719081878662,
1019,0.6000000000000001,30,1,0.9615696183053488,0.9616640743138928,0.131867279968768,1.9720792770385744,
1020,0.6000000000000001,1,2,0.602062660143631,0.6074045156685841,0.4519442608443679,0.6092345714569092,
1021,0.6000000000000001,2,2,0.8386493090093063,0.8389349913782645,0.2581375096222268,0.6732633113861084,
1022,0.6000000000000001,3,2,0.8982989236786457,0.8990957009871267,0.1993032346929252,0.6844007968902588,
1023,0.6000000000000001,4,2,0.9091629970673802,0.911557889723424,0.1914644311895501,0.7509396076202393,
1024,0.6000000000000001,5,2,0.929962812844253,0.9299845086521912,0.166979424268751,0.8093869686126709,
1025,0.6000000000000001,6,2,0.9418102537611548,0.9418596421900892,0.1586917741268501,0.8529372215270996,
1026,0.6000000000000001,7,2,0.9515660471972598,0.952533546796843,0.1507757141768465,1.188553810119629,
1027,0.6000000000000001,8,2,0.949336703479812,0.9500256998939628,0.1496572969872557,0.954437255859375,
1028,0.6000000000000001,9,2,0.9565127553685708,0.9571332656151732,0.1422553341560236,0.9891190528869628,
1029,0.6000000000000001,10,2,0.9533166416784132,0.9537346525273562,0.1431108732631491,1.050537109375,
1030,0.6000000000000001,11,2,0.9589485404129378,0.9590300511299936,0.1354145635719583,1.0715818405151367,
1031,0.6000000000000001,12,2,0.9571569906694446,0.9572093062889075,0.1387428944548339,1.1237668991088867,
1032,0.6000000000000001,13,2,0.9601656059930216,0.9609291349913022,0.1365893916464266,1.1800479888916016,
1033,0.6000000000000001,14,2,0.9583643999860956,0.9592391391181194,0.1361575761061934,1.2059500217437744,
1034,0.6000000000000001,15,2,0.955154871640254,0.9555899692876776,0.1401399277504268,1.2434275150299072,
1035,0.6000000000000001,16,2,0.9590414636647095,0.9592630707376184,0.1354342335994803,1.3201982975006104,
1036,0.6000000000000001,17,2,0.9599287329959602,0.9600880855889508,0.1348730399125746,1.653181552886963,
1037,0.6000000000000001,18,2,0.9604438001138738,0.9610158690229046,0.1360490567673697,1.4176075458526611,
1038,0.6000000000000001,19,2,0.9600501786579544,0.960761146576284,0.1332519966101148,1.5214905738830566,
1039,0.6000000000000001,20,2,0.9587518113086696,0.959491024218946,0.1370047048660838,1.5615785121917725,
1040,0.6000000000000001,21,2,0.9604336882961332,0.9606099141171968,0.1325124487362332,1.569002628326416,
1041,0.6000000000000001,22,2,0.9591414340915304,0.9595060029085536,0.1335979698826198,1.590818166732788,
1042,0.6000000000000001,23,2,0.961181454079655,0.961506465928342,0.1320079080690412,1.6720738410949707,
1043,0.6000000000000001,24,2,0.9610230702356476,0.962276090875166,0.1347860548967188,1.6569030284881592,
1044,0.6000000000000001,25,2,0.9607068563174784,0.9607400548976788,0.1315861495545175,1.7393968105316162,
1045,0.6000000000000001,26,2,0.959782770414256,0.959790732048389,0.1322592271989539,2.1096031665802,
1046,0.6000000000000001,27,2,0.9596784896346232,0.95968549942738,0.1319298398701713,1.849838733673096,
1047,0.6000000000000001,28,2,0.9608590743342316,0.962383164794567,0.1324982929118508,1.9287834167480469,
1048,0.6000000000000001,29,2,0.9598318295456736,0.9606140702164094,0.135511750974669,1.9386417865753172,
1049,0.6000000000000001,30,2,0.9618155831478346,0.9618503048180091,0.1289528917671236,1.967850685119629,
1050,0.6000000000000001,1,3,0.3453220642816696,0.4016580214151106,0.6375161382828786,0.6408753395080566,
1051,0.6000000000000001,2,3,0.5138692604612436,0.5589332247298711,0.3780091810770613,0.709571361541748,
1052,0.6000000000000001,3,3,0.8858271040121088,0.8900270770087636,0.2077377959233114,0.7306771278381348,
1053,0.6000000000000001,4,3,0.927235557382584,0.9273439860694718,0.1752490306637504,0.7742202281951904,
1054,0.6000000000000001,5,3,0.9182134858033624,0.9185924991504978,0.1810368237584328,1.0766730308532717,
1055,0.6000000000000001,6,3,0.9357708181953514,0.9375561277420954,0.1654152970723036,0.897571325302124,
1056,0.6000000000000001,7,3,0.9529960695241784,0.9529969714573058,0.1454468037280963,1.006758689880371,
1057,0.6000000000000001,8,3,0.9439602983666184,0.943961655522629,0.1543204127042391,1.0107088088989258,
1058,0.6000000000000001,9,3,0.9563863664685208,0.9564043417277166,0.1412381681978605,1.0496203899383545,
1059,0.6000000000000001,10,3,0.9564128385442444,0.956740534031317,0.1388886438565238,1.100419282913208,
1060,0.6000000000000001,11,3,0.9569678533670224,0.9570968850713848,0.1374094104116948,1.138662815093994,
1061,0.6000000000000001,12,3,0.9564881619090434,0.9564893481355058,0.1381880660218915,1.1757054328918457,
1062,0.6000000000000001,13,3,0.9515689663624576,0.9533586769093874,0.1492487592597939,1.2414298057556152,
1063,0.6000000000000001,14,3,0.9548120029826944,0.9555585402111142,0.1419063336758342,1.5007426738739014,
1064,0.6000000000000001,15,3,0.9579908540009802,0.9581417879757224,0.1368172371058609,1.369694709777832,
1065,0.6000000000000001,16,3,0.9581638993254228,0.960698587463104,0.1397699081819757,1.6723031997680664,
1066,0.6000000000000001,17,3,0.9589188902559524,0.959286117983026,0.1346508128631179,1.476825475692749,
1067,0.6000000000000001,18,3,0.9588934413778136,0.9606430486521028,0.1338868309048025,1.4595277309417725,
1068,0.6000000000000001,19,3,0.9603960500177368,0.9603963592721664,0.132433075911829,1.5145418643951416,
1069,0.6000000000000001,20,3,0.9605303378983528,0.9605830691623516,0.132927064243912,1.5359561443328855,
1070,0.6000000000000001,21,3,0.960119068525271,0.9602037475107408,0.1335503831195355,1.7398924827575684,
1071,0.6000000000000001,22,3,0.9577175096177648,0.958071298199581,0.1347869023665699,1.647808074951172,
1072,0.6000000000000001,23,3,0.9622971593567862,0.9624011006973208,0.1313150892236134,2.019861936569214,
1073,0.6000000000000001,24,3,0.9618221303414072,0.9619568623635144,0.1317518773122969,1.7825117111206057,
1074,0.6000000000000001,25,3,0.9604519537367486,0.9613130313281412,0.1313096587752591,1.859915256500244,
1075,0.6000000000000001,26,3,0.9595808664835938,0.9596217117612584,0.1341127091936197,1.8742966651916504,
1076,0.6000000000000001,27,3,0.961046000895248,0.9613759592811052,0.1327078344099601,1.9200215339660645,
1077,0.6000000000000001,28,3,0.9599348053207678,0.9599902197159268,0.1330323779845355,1.947702407836914,
1078,0.6000000000000001,29,3,0.9594313727148496,0.9597442184636128,0.1340687280844714,2.00281310081482,
1079,0.6000000000000001,30,3,0.9619944478736128,0.9620609216735372,0.1311848828578397,2.04902458190918,
1080,0.6500000000000001,1,1,0.4622790906994225,0.4630174897730736,0.4857386710139195,0.5748813152313232,
1081,0.6500000000000001,2,1,0.784061684673853,0.7850041683524125,0.2768253313990494,0.6091184616088867,
1082,0.6500000000000001,3,1,0.902960097568212,0.9036109600828832,0.196841807772621,0.9260456562042236,
1083,0.6500000000000001,4,1,0.9035155775884742,0.90631238406595,0.20088832393691,0.7082617282867432,
1084,0.6500000000000001,5,1,0.9276813755817076,0.927935062142645,0.169625583907923,0.8040478229522705,
1085,0.6500000000000001,6,1,0.9308996735256296,0.9310935693174024,0.171713304446091,0.8070168495178223,
1086,0.6500000000000001,7,1,0.9351855697115306,0.935769077141422,0.1639745122222423,0.8510284423828125,
1087,0.6500000000000001,8,1,0.9371426648746664,0.9371963837620858,0.1593079273063199,0.8817362785339355,
1088,0.6500000000000001,9,1,0.9526989977150768,0.95272445725378,0.1452346584937443,0.9430379867553712,
1089,0.6500000000000001,10,1,0.9500038845500058,0.9505359407424548,0.1500664895309104,0.9533965587615968,
1090,0.6500000000000001,11,1,0.9510822298603456,0.9513734657663446,0.1472022272819353,1.0146234035491943,
1091,0.6500000000000001,12,1,0.9556121434582424,0.955699904501201,0.1388937092062714,1.0612096786499023,
1092,0.6500000000000001,13,1,0.954177161774148,0.9542673501195176,0.141572694611658,1.3628463745117188,
1093,0.6500000000000001,14,1,0.9598069792283604,0.9598111966761306,0.1327580741611081,1.1433448791503906,
1094,0.6500000000000001,15,1,0.957182049462134,0.957321317755934,0.1381216533762114,1.211216926574707,
1095,0.6500000000000001,16,1,0.956566837403404,0.9565965622302304,0.1372866709532799,1.241405963897705,
1096,0.6500000000000001,17,1,0.9569069460229608,0.956908503808006,0.1379747072989998,1.2734253406524658,
1097,0.6500000000000001,18,1,0.9594647951862156,0.9594712722132974,0.1346456395280907,1.324087619781494,
1098,0.6500000000000001,19,1,0.9584995641299604,0.958604159440635,0.1342235132492701,1.3845100402832031,
1099,0.6500000000000001,20,1,0.9579034656944344,0.9579854950720276,0.1364480656597917,1.4209356307983398,
1100,0.6500000000000001,21,1,0.959991736123886,0.960177135787226,0.1332843303318996,1.4496121406555176,
1101,0.6500000000000001,22,1,0.9598149285052836,0.959818029938638,0.1336597296565801,1.5430355072021484,
1102,0.6500000000000001,23,1,0.9581441261525452,0.958750192565914,0.1371435702886658,1.801506519317627,
1103,0.6500000000000001,24,1,0.9591059748324762,0.9591143730520312,0.1338649075170795,1.6184477806091309,
1104,0.6500000000000001,25,1,0.960340323978859,0.9603781987744467,0.1324436732908573,1.648902177810669,
1105,0.6500000000000001,26,1,0.958184706730546,0.9592577394842032,0.1377665585046651,1.7124431133270264,
1106,0.6500000000000001,27,1,0.9590710051318532,0.9590900097834884,0.1333833358044108,1.7591547966003418,
1107,0.6500000000000001,28,1,0.9603757776807156,0.9607004245353732,0.1323983509548895,1.80580735206604,
1108,0.6500000000000001,29,1,0.9604920641805694,0.9604936591505652,0.1322382203050915,1.8275668621063232,
1109,0.6500000000000001,30,1,0.9608634393975862,0.9608637825902,0.1301253133965551,1.8605623245239256,
1110,0.6500000000000001,1,2,0.3046071299439298,0.3687746302714729,0.4726395358889473,0.6129417419433594,
1111,0.6500000000000001,2,2,0.6993053848365067,0.7125746849607442,0.3155616318612796,0.6733627319335938,
1112,0.6500000000000001,3,2,0.860727468169987,0.8674078850232894,0.2310941504933733,0.699394941329956,
1113,0.6500000000000001,4,2,0.9110150172862316,0.9112385629633218,0.1801281185325569,1.0040514469146729,
1114,0.6500000000000001,5,2,0.9326717072829104,0.9327453906560268,0.1647314537651265,0.8098783493041992,
1115,0.6500000000000001,6,2,0.9376093359067909,0.9381760443209766,0.1592093891209669,0.8484599590301514,
1116,0.6500000000000001,7,2,0.9506655260805228,0.951061489537542,0.1458774208369719,0.8885641098022461,
1117,0.6500000000000001,8,2,0.950833478711158,0.9508738210719389,0.1449193402174471,0.9427099227905272,
1118,0.6500000000000001,9,2,0.952347338796819,0.9534598002267536,0.1489401437466271,0.985647439956665,
1119,0.6500000000000001,10,2,0.9549967261636204,0.9550338564017604,0.1410803087976524,1.0173532962799072,
1120,0.6500000000000001,11,2,0.9524249893247638,0.9527345966318652,0.1425107186655466,1.0310866832733154,
