fake,index_size,pc_dims,k,pc_ret,indexing,retrieval
1,30000,0.25,1,10000,0.07596755027770996,0.0033884048461914062
1,30000,0.25,1,15000,0.07596755027770996,0.004714012145996094
1,30000,0.25,1,20000,0.07596755027770996,0.006343364715576172
1,30000,0.25,1,25000,0.07596755027770996,0.0078046321868896484
1,30000,0.25,1,30000,0.07596755027770996,0.010675907135009766
1,35000,0.25,1,5000,0.1396195888519287,0.0017430782318115234
1,35000,0.25,1,10000,0.1396195888519287,0.0030291080474853516
1,35000,0.25,1,15000,0.1396195888519287,0.003565549850463867
1,35000,0.25,1,20000,0.1396195888519287,0.004391193389892578
1,35000,0.25,1,25000,0.1396195888519287,0.0055234432220458984
1,35000,0.25,1,30000,0.1396195888519287,0.00686955451965332
1,40000,0.25,1,5000,0.09624648094177246,0.0016372203826904297
1,40000,0.25,1,10000,0.09624648094177246,0.002743959426879883
1,40000,0.25,1,15000,0.09624648094177246,0.004606723785400391
1,40000,0.25,1,20000,0.09624648094177246,0.005204439163208008
1,40000,0.25,1,25000,0.09624648094177246,0.0067043304443359375
1,40000,0.25,1,30000,0.09624648094177246,0.008099079132080078
1,45000,0.25,1,5000,0.10993599891662598,0.001720428466796875
1,45000,0.25,1,10000,0.10993599891662598,0.0034477710723876953
1,45000,0.25,1,15000,0.10993599891662598,0.0050694942474365234
1,45000,0.25,1,20000,0.10993599891662598,0.006091594696044922
1,45000,0.25,1,25000,0.10993599891662598,0.007292509078979492
1,45000,0.25,1,30000,0.10993599891662598,0.010832786560058594
1,50000,0.25,1,5000,0.11441826820373535,0.0016558170318603516
1,50000,0.25,1,10000,0.11441826820373535,0.0035276412963867188
1,50000,0.25,1,15000,0.11441826820373535,0.0041277408599853516
1,50000,0.25,1,20000,0.11441826820373535,0.005571603775024414
1,50000,0.25,1,25000,0.11441826820373535,0.006925344467163086
1,50000,0.25,1,30000,0.11441826820373535,0.008548974990844727
1,5000,0.5,1,5000,0.013752937316894531,0.0028853416442871094
1,5000,0.5,1,10000,0.013752937316894531,0.006714820861816406
1,5000,0.5,1,15000,0.013752937316894531,0.009122848510742188
1,5000,0.5,1,20000,0.013752937316894531,0.012510538101196289
1,5000,0.5,1,25000,0.013752937316894531,0.016109943389892578
1,5000,0.5,1,30000,0.013752937316894531,0.02689337730407715
1,10000,0.5,1,5000,0.020165681838989258,0.0038237571716308594
1,10000,0.5,1,10000,0.020165681838989258,0.007182121276855469
1,10000,0.5,1,15000,0.020165681838989258,0.010000944137573242
1,10000,0.5,1,20000,0.020165681838989258,0.017531633377075195
1,10000,0.5,1,25000,0.020165681838989258,0.01769733428955078
1,10000,0.5,1,30000,0.020165681838989258,0.022330522537231445
1,15000,0.5,1,5000,0.034116506576538086,0.003548145294189453
1,15000,0.5,1,10000,0.034116506576538086,0.00620722770690918
1,15000,0.5,1,15000,0.034116506576538086,0.008886098861694336
1,15000,0.5,1,20000,0.034116506576538086,0.012928247451782227
1,15000,0.5,1,25000,0.034116506576538086,0.015501976013183594
1,15000,0.5,1,30000,0.034116506576538086,0.018841028213500977
1,20000,0.5,1,5000,0.0357365608215332,0.003916501998901367
1,20000,0.5,1,10000,0.0357365608215332,0.006357431411743164
1,20000,0.5,1,15000,0.0357365608215332,0.009501218795776367
1,20000,0.5,1,20000,0.0357365608215332,0.012787580490112305
