fake,index_size,pc_dims,k,pc_ret,indexing,retrieval
1,50000,0.25,1,5000,0.2372453212738037,1.7698874473571777
1,50000,0.25,1,10000,0.2372453212738037,3.5394551753997803
1,50000,0.25,1,15000,0.2372453212738037,5.344267129898071
1,50000,0.25,1,20000,0.2372453212738037,7.1699724197387695
1,50000,0.25,1,25000,0.2372453212738037,8.93960976600647
1,50000,0.25,1,30000,0.2372453212738037,10.675020933151245
1,5000,0.5,1,5000,0.03151655197143555,0.9252188205718994
1,5000,0.5,1,10000,0.03151655197143555,1.8607172966003418
1,5000,0.5,1,15000,0.03151655197143555,2.785489320755005
1,5000,0.5,1,20000,0.03151655197143555,3.723209857940674
1,5000,0.5,1,25000,0.03151655197143555,4.637285232543945
1,5000,0.5,1,30000,0.03151655197143555,5.591310739517212
1,10000,0.5,1,5000,0.06751847267150879,4.622837781906128
1,10000,0.5,1,10000,0.06751847267150879,9.337377548217773
1,10000,0.5,1,15000,0.06751847267150879,13.95039415359497
1,10000,0.5,1,20000,0.06751847267150879,18.472106218338013
1,10000,0.5,1,25000,0.06751847267150879,23.366472005844116
1,10000,0.5,1,30000,0.06751847267150879,27.992669820785522
1,15000,0.5,1,5000,0.10744929313659668,0.3083772659301758
1,15000,0.5,1,10000,0.10744929313659668,0.6227242946624756
1,15000,0.5,1,15000,0.10744929313659668,0.9254798889160156
1,15000,0.5,1,20000,0.10744929313659668,1.2408127784729004
1,15000,0.5,1,25000,0.10744929313659668,1.5508825778961182
1,15000,0.5,1,30000,0.10744929313659668,1.8605058193206787
1,20000,0.5,1,5000,0.15938925743103027,0.32344698905944824
1,20000,0.5,1,10000,0.15938925743103027,0.645777702331543
1,20000,0.5,1,15000,0.15938925743103027,0.9617083072662354
1,20000,0.5,1,20000,0.15938925743103027,1.287384271621704
1,20000,0.5,1,25000,0.15938925743103027,1.6115946769714355
1,20000,0.5,1,30000,0.15938925743103027,1.9280154705047607
1,25000,0.5,1,5000,0.20453095436096191,0.7433340549468994
1,25000,0.5,1,10000,0.20453095436096191,1.4982521533966064
1,25000,0.5,1,15000,0.20453095436096191,2.2595229148864746
1,25000,0.5,1,20000,0.20453095436096191,3.007265329360962
1,25000,0.5,1,25000,0.20453095436096191,3.7511520385742188
1,25000,0.5,1,30000,0.20453095436096191,4.481099367141724
1,30000,0.5,1,5000,0.24489927291870117,0.574498176574707
1,30000,0.5,1,10000,0.24489927291870117,1.1579151153564453
1,30000,0.5,1,15000,0.24489927291870117,1.7479848861694336
1,30000,0.5,1,20000,0.24489927291870117,2.3112239837646484
1,30000,0.5,1,25000,0.24489927291870117,2.883631944656372
1,30000,0.5,1,30000,0.24489927291870117,3.480720043182373
1,35000,0.5,1,5000,0.3151111602783203,3.8832149505615234
1,35000,0.5,1,10000,0.3151111602783203,7.707689523696899
1,35000,0.5,1,15000,0.3151111602783203,11.548895120620728
1,35000,0.5,1,20000,0.3151111602783203,15.367043018341064
1,35000,0.5,1,25000,0.3151111602783203,19.202635049819946
1,35000,0.5,1,30000,0.3151111602783203,23.031654834747314
1,40000,0.5,1,5000,0.3628580570220947,1.0483431816101074
1,40000,0.5,1,10000,0.3628580570220947,2.0839483737945557
1,40000,0.5,1,15000,0.3628580570220947,3.1231613159179688
1,40000,0.5,1,20000,0.3628580570220947,4.190097332000732
1,40000,0.5,1,25000,0.3628580570220947,5.2031638622283936
1,40000,0.5,1,30000,0.3628580570220947,6.233328819274902
1,45000,0.5,1,5000,0.426912784576416,1.5851435661315918
1,45000,0.5,1,10000,0.426912784576416,3.170454740524292
1,45000,0.5,1,15000,0.426912784576416,4.682755470275879
1,45000,0.5,1,20000,0.426912784576416,6.288280487060547
1,45000,0.5,1,25000,0.426912784576416,7.8280394077301025
1,45000,0.5,1,30000,0.426912784576416,9.353461503982544
1,50000,0.5,1,5000,0.47735142707824707,2.7924113273620605
1,50000,0.5,1,10000,0.47735142707824707,5.438539266586304
1,50000,0.5,1,15000,0.47735142707824707,8.237839460372925
1,50000,0.5,1,20000,0.47735142707824707,11.051148891448975
1,50000,0.5,1,25000,0.47735142707824707,13.737078428268433
1,50000,0.5,1,30000,0.47735142707824707,16.511653661727905
1,5000,0.75,1,5000,0.04773879051208496,0.40560388565063477
1,5000,0.75,1,10000,0.04773879051208496,0.8237578868865967
1,5000,0.75,1,15000,0.04773879051208496,1.2283272743225098
1,5000,0.75,1,20000,0.04773879051208496,1.6286444664001465
1,5000,0.75,1,25000,0.04773879051208496,2.053366184234619
1,5000,0.75,1,30000,0.04773879051208496,2.447406053543091
1,10000,0.75,1,5000,0.10715436935424805,0.6691920757293701
1,10000,0.75,1,10000,0.10715436935424805,1.3571515083312988
1,10000,0.75,1,15000,0.10715436935424805,2.0141501426696777
1,10000,0.75,1,20000,0.10715436935424805,2.6874704360961914
1,10000,0.75,1,25000,0.10715436935424805,3.3480238914489746
1,10000,0.75,1,30000,0.10715436935424805,4.048079490661621
1,15000,0.75,1,5000,0.15988564491271973,0.7800207138061523
1,15000,0.75,1,10000,0.15988564491271973,1.559429407119751
1,15000,0.75,1,15000,0.15988564491271973,2.3509671688079834
1,15000,0.75,1,20000,0.15988564491271973,3.1193528175354004
1,15000,0.75,1,25000,0.15988564491271973,3.8798341751098633
1,15000,0.75,1,30000,0.15988564491271973,4.693962812423706
1,20000,0.75,1,5000,0.24164509773254395,0.6330208778381348
1,20000,0.75,1,10000,0.24164509773254395,1.2483115196228027
1,20000,0.75,1,15000,0.24164509773254395,1.8877747058868408
1,20000,0.75,1,20000,0.24164509773254395,2.5218865871429443
1,20000,0.75,1,25000,0.24164509773254395,3.146491289138794
1,20000,0.75,1,30000,0.24164509773254395,3.791795015335083
1,25000,0.75,1,5000,0.30878233909606934,0.5490014553070068
1,25000,0.75,1,10000,0.30878233909606934,1.0760936737060547
1,25000,0.75,1,15000,0.30878233909606934,1.6356885433197021
1,25000,0.75,1,20000,0.30878233909606934,2.1770784854888916
1,25000,0.75,1,25000,0.30878233909606934,2.7113046646118164
1,25000,0.75,1,30000,0.30878233909606934,3.2591991424560547
1,30000,0.75,1,5000,0.382704496383667,0.6412949562072754
1,30000,0.75,1,10000,0.382704496383667,1.258274793624878
1,30000,0.75,1,15000,0.382704496383667,1.9043693542480469
1,30000,0.75,1,20000,0.382704496383667,2.518063545227051
1,30000,0.75,1,25000,0.382704496383667,3.1447129249572754
1,30000,0.75,1,30000,0.382704496383667,3.7847208976745605
