spacegroup,nsites,chemsys,material_id,TC,volume,density,is_stable,energy_per_atom,band_gap,efermi,is_gap_direct,is_metal
wurtzite,4,As-In,mp-1007652,21.438211001284497,114.11586157361741,5.521932077387896,False,-3.9277895375,0.0,3.89646078,False,True
wurtzite,4,In-N,mp-22205,114.50887077331474,62.58752953435945,6.835816933007001,True,-5.6229385025,0.0,6.05913405,False,True
wurtzite,4,In-P,mp-966800,69.15364550709126,102.91163698144938,4.704869604456656,False,-4.283997765,0.5133999999999999,4.75548917,True,False
wurtzite,4,In-Sb,mp-1007661,10.878160439978117,140.9967981840067,5.572424570739726,False,-3.6325314300000002,0.0,4.38282858,False,True
wurtzite,4,Mg-Te,mp-1039,8.352737219547302,135.71852446664587,3.7171666565512127,True,-3.458434155,2.3611999999999997,2.09590592,True,False
wurtzite,4,C-Si,mp-7140,454.4101258161733,41.27465862347238,3.226255951846587,False,-7.526978555,2.3028999999999993,8.23938418,False,False
wurtzite,4,O-Zn,mp-2133,56.28362862748213,47.397148259900405,5.70421780686615,True,-4.8947514199999995,0.7227,0.8923141,True,False
wurtzite,4,O-Zn,mp-1017539,56.28362862748213,49.08434295009371,5.5081445701267695,False,-4.5945288275,0.4516000000000001,1.04566149,True,False
wurtzite,4,S-Zn,mp-560588,61.09127307917177,78.24665654456005,4.13715785761638,False,-3.75795434,2.0701,1.95181724,True,False
wurtzite,4,Se-Zn,mp-380,18.493081732154916,90.88655716305327,5.27537563285386,False,-3.32418648,1.2004,1.32116904,True,False
wurtzite,4,Te-Zn,mp-8884,20.902391966898495,114.2558863173566,5.610196464017319,False,-2.8804360275,1.1002999999999998,2.90467691,True,False
zincblende,2,Ag-I,mp-22925,4.0876875222285385,70.71047378171399,5.513316054259084,True,-2.6488284899999996,1.3674,1.39863841,True,False
zincblende,2,Al-As,mp-2172,80.87898505735956,45.711095247398035,3.701817725841658,True,-4.68748928,1.5036999999999998,3.58128419,False,False
zincblende,2,Al-N,mp-1700,240.67197827649065,20.83454669051882,3.2668131674492025,False,-7.604088630000001,3.3056,5.87272095,False,False
zincblende,2,Al-P,mp-1550,80.52964132425929,40.983457924417976,2.3481923106714797,True,-5.18921136,1.6294000000000004,4.36978098,False,False
zincblende,2,Al-Sb,mp-2624,108.21515077187792,59.15180866014202,4.175546636123753,True,-4.192786455,1.2255000000000003,4.4349805,False,False
zincblende,2,As-B,mp-10044,1769.0012100965014,27.982045483901548,5.087631340714321,False,-5.68821523,1.2036999999999995,5.92325565,False,False
