ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07181;2021-06-09T08:00:00+02:00;102200;30.0;3;320;1.8;288.15;287.95;99;160.0;45;;;101.0;9;30.0;;;;98170.0;;;-70.0;286.05;;290.05;;284.05;;;2.9;2.9;-10.0;;;;;0.0;0.0;0.0;0.4;4.4;;;;;0.0;0;;;;;;;;;;;48.581,5.959833;NANCY-OCHEY;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;Brouillard ou brouillard glacé, ciel invisible, sans changement appréciable au cours de l’heure précédente;15.0;12.900000000000034;;16.900000000000034;;10.900000000000034;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;6
07181;2021-06-11T08:00:00+02:00;102020;50.0;3;310;2.1;290.45;287.15;81;6000.0;0;;;;;;;;;98030.0;;;;287.35;;297.45;;282.15;;;;3.6;-10.0;;;;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;48.581,5.959833;NANCY-OCHEY;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;17.30000000000001;14.200000000000045;;24.30000000000001;;9.0;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;6
07181;2021-06-25T02:00:00+02:00;102120;10.0;0;270;5.0;287.05;286.45;96;2670.0;10;;;100.0;8;250.0;;;;98080.0;;;210.0;;;;;287.85;;;6.9;7.1;-10.0;;;;;0.0;1.2;2.0;5.6;25.5;;;;;8.0;;270.0;;;;;;;;;;48.581,5.959833;NANCY-OCHEY;En hausse, puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;;Brume;13.900000000000034;;;;;14.700000000000045;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;6
07181;2021-09-04T17:00:00+02:00;101480;-80.0;8;40;2.2;299.05;284.05;39;19760.0;0;;;;0;;;;;97540.0;;;-160.0;;;;;282.85;;;4.2;6.6;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.581,5.959833;NANCY-OCHEY;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;25.900000000000034;;;;;9.700000000000045;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;9
07181;2021-02-20T16:00:00+01:00;101380;-100.0;8;180;9.2;289.55;277.55;45;33350.0;0;;;;0;;;;;97390.0;;;-260.0;;;;;277.45;;;13.9;15.8;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.581,5.959833;NANCY-OCHEY;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;16.400000000000034;;;;;4.300000000000011;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;2
07181;2021-02-20T19:00:00+01:00;101410;0.0;0;180;7.6;287.55;276.35;47;60000.0;0;;;;0;;;;;97390.0;;;-230.0;281.05;;289.75;;277.45;;;12.3;12.3;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.581,5.959833;NANCY-OCHEY;En hausse, puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;14.400000000000034;7.900000000000034;;16.600000000000023;;4.300000000000011;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;2
07181;2021-02-23T10:00:00+01:00;103300;140.0;1;190;5.0;287.65;280.65;63;19910.0;0;;;;5;2700.0;;;;99210.0;;;1260.0;;;;;278.95;;;8.3;8.3;-10.0;;;;;0.0;0.0;0.0;0.0;-0.1;;;;;5.0;;2700.0;;;;;;;;;;48.581,5.959833;NANCY-OCHEY;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;14.5;;;;;5.800000000000011;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;2
07181;2021-03-01T01:00:00+01:00;103180;-30.0;8;70;3.2;276.65;271.65;70;20740.0;0;;;;0;;;;;98930.0;;;-370.0;;;;;274.25;;;5.5;7.6;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.581,5.959833;NANCY-OCHEY;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;3.5;;;;;1.1000000000000227;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;3
07181;2021-09-10T02:00:00+02:00;101450;-10.0;5;180;3.1;290.15;287.75;86;27570.0;0;;;100.0;8;3240.0;;;;97400.0;;;220.0;;;;;289.55;;;5.0;5.0;-10.0;;;;;0.0;0.0;0.0;0.0;10.2;;;;;8.0;;3240.0;;;;;;;;;;48.581,5.959833;NANCY-OCHEY;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;17.0;;;;;16.400000000000034;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;9
07181;2021-09-10T05:00:00+02:00;101430;-20.0;8;170;2.4;290.15;288.15;88;25960.0;0;;;100.0;8;1750.0;;;;97380.0;;;200.0;;;;;289.55;;;3.5;3.9;-10.0;;;;;0.0;0.0;0.0;0.0;10.2;;;;;5.0;;1860.0;7.0;;2340.0;8.0;;2880.0;;;;48.581,5.959833;NANCY-OCHEY;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;17.0;;;;;16.400000000000034;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;9
07181;2021-03-08T22:00:00+01:00;102110;0.0;4;70;2.4;274.75;267.55;59;33840.0;0;;;;0;;;;;97870.0;;;-90.0;;;;;268.35;;;3.4;3.8;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.581,5.959833;NANCY-OCHEY;Stationnaire, la pression atmosphérique est la même que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;1.6000000000000227;;;;;-4.7999999999999545;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;3
07181;2021-03-10T04:00:00+01:00;102150;10.0;1;220;2.0;274.25;272.45;88;4730.0;10;;;;0;;;;;97910.0;;;180.0;;;;;272.05;;;2.6;3.6;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.581,5.959833;NANCY-OCHEY;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;Brume;1.1000000000000227;;;;;-1.099999999999966;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;3
07181;2021-03-10T10:00:00+01:00;102180;70.0;0;220;3.8;279.45;274.35;70;6400.0;0;;;;3;7080.0;;;;98010.0;;;140.0;;;;;271.85;;;5.1;5.1;-10.0;;;;;0.0;-0.1;-0.1;-0.1;-0.1;;;;;3.0;;7080.0;;;;;;;;;;48.581,5.959833;NANCY-OCHEY;En hausse, puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;6.300000000000011;;;;;-1.2999999999999545;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;3
