Structure,Material,nbP,volume,mass,TC,density,lowest_valence,highest_valence,lowest_pediod,highest_pediod,lowest_group,highest_group,lowest_elMass,highest_elMass,lowest_nbneutrons,highest_nbneutrons,lowest_nbprotons,highest_nbprotons,lowest_nbelectrons,highest_nbelectrons,lowest_nbshells,highest_nbshells,lowest_electronegativity,highest_electronegativity,Ag,Al,As,B,Ba,Be,Br,C,Ca,Cd,Cl,Cs,Cu,F,Ga,H,I,In,K,Li,Mg,N,Na,O,P,Pb,Rb,S,Sb,Se,Si,Sr,Te,Zn
rocksalt,PbTe,8.0,33.443223113617506,1339.1999999999998,3.205886009838356,8.309127354619429,4.0,6.0,5.0,6.0,14.0,16.0,127.6,207.2,76.0,125.0,52.0,82.0,52.0,82.0,5.0,6.0,2.0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
rocksalt,BrRb,8.0,40.70194102790448,661.4872,3.580745504548553,3.3722861989775406,1.0,7.0,4.0,5.0,1.0,17.0,79.904,85.468,45.0,48.0,35.0,37.0,35.0,37.0,4.0,5.0,1.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rocksalt,ClRb,8.0,35.598912031555265,483.6832,2.508627712018214,2.8193070594695713,1.0,7.0,3.0,5.0,1.0,17.0,35.453,85.468,18.0,48.0,17.0,37.0,17.0,37.0,3.0,5.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rocksalt,FRb,8.0,22.61073126123717,417.864812,2.956639064000633,3.834769759908055,1.0,7.0,2.0,5.0,1.0,17.0,18.998,85.468,10.0,48.0,9.0,37.0,9.0,37.0,2.0,5.0,1.0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rocksalt,HRb,8.0,26.339726536920146,345.90296,5.7396759252164005,2.7249661874580915,1.0,1.0,1.0,5.0,1.0,1.0,1.007,85.468,0.0,48.0,1.0,37.0,1.0,37.0,1.0,5.0,1.0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rocksalt,IRb,8.0,49.12628303930054,849.4890800000001,2.01353397522604,3.5880789914227096,1.0,7.0,5.0,5.0,1.0,17.0,85.468,126.904,48.0,74.0,37.0,53.0,37.0,53.0,5.0,5.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rocksalt,OSr,8.0,16.912251914712364,414.4776,10.613351708533685,5.085313442214223,2.0,6.0,2.0,5.0,2.0,16.0,15.999,87.62,8.0,50.0,8.0,38.0,8.0,38.0,2.0,5.0,1.0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
wurtzite,AgI,4.0,33.46909997057651,469.54534,2.455758728769999,5.822125969067208,1.0,7.0,5.0,5.0,11.0,17.0,107.868,126.904,61.0,74.0,47.0,53.0,47.0,53.0,5.0,5.0,2.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,AlAs,4.0,22.83843194957481,203.806278,64.64743859679771,3.7033893376193303,3.0,5.0,3.0,4.0,13.0,15.0,26.982,74.922,14.0,42.0,13.0,33.0,13.0,33.0,3.0,4.0,1.61,2.18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wurtzite,AlN,4.0,10.45989480723875,81.976478,245.2704093643856,3.2524455548497833,3.0,5.0,2.0,3.0,13.0,15.0,14.007,26.982,7.0,14.0,7.0,13.0,7.0,13.0,2.0,3.0,1.61,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
